,County,City,Incorportation_date,pop_april_1980,pop_april_1990,pop_april_2000,pop_april_2010,Latitude,Longitude,Total_Pop
177,Riverside,Indio,1930,21611.0,36793.0,49116.0,76036.0,33.720578,-116.215561,183556.0
178,Los Angeles,Industry,1957,412.0,631.0,777.0,219.0,34.019733,-117.958675,2039.0
179,Los Angeles,Inglewood,1908,94162.0,109602.0,112580.0,109673.0,33.961681,-118.353131,426017.0
180,Amador,Ione,1953,2207.0,6516.0,7129.0,7918.0,38.352692,-120.932717,23770.0
181,Orange,Irvine,1971,62134.0,110330.0,143072.0,212375.0,33.683947,-117.794694,527911.0
182,Los Angeles,Irwindale,1957,1030.0,1050.0,1446.0,1422.0,34.106953,-117.935342,4948.0
183,Sacramento,Isleton,1923,914.0,833.0,828.0,804.0,38.161861,-121.611622,3379.0
184,Amador,Jackson,1905,2331.0,3545.0,3989.0,4651.0,38.348803,-120.774103,14516.0
185,Fresno,Kerman,1946,4002.0,5448.0,8551.0,13544.0,36.723558,-120.059878,31545.0
186,Monterey,King City,1911,5495.0,7634.0,11204.0,12874.0,36.212744,-121.126028,37207.0
187,Fresno,Kingsburg,1908,5115.0,7205.0,9199.0,11382.0,36.513839,-119.554017,32901.0
188,Los Angeles,La Cañada Flintridge,1976,20153.0,19378.0,20318.0,20246.0,34.206817,-118.200028,80095.0
189,Orange,La Habra,1925,45232.0,51266.0,58974.0,60239.0,33.931958,-117.946172,215711.0
190,Los Angeles,La Habra Heights,1978,4786.0,6226.0,5712.0,5325.0,33.960847,-117.950619,22049.0
191,San Diego,La Mesa,1912,50308.0,52931.0,54749.0,57065.0,32.767828,-117.023083,215053.0
192,Los Angeles,La Mirada,1960,40986.0,40452.0,46783.0,48527.0,33.917236,-118.012008,176748.0
193,Orange,La Palma,1955,15399.0,15392.0,15408.0,15568.0,33.846403,-118.046731,61767.0
194,Los Angeles,La Puente,1956,30882.0,36955.0,41063.0,39816.0,34.020011,-117.949508,148716.0
196,Los Angeles,La Verne,1906,23508.0,30897.0,31638.0,31063.0,34.100842,-117.767836,117106.0
197,Contra Costa,Lafayette,1968,20837.0,23501.0,23908.0,23893.0,37.885758,-122.118019,92139.0
198,Orange,Laguna Beach,1927,17858.0,23170.0,23727.0,22723.0,33.542247,-117.783111,87478.0
200,Riverside,Lake Elsinore,1888,5982.0,18285.0,28928.0,51821.0,33.668078,-117.327261,105016.0
201,Lake,Lakeport,1888,3675.0,4390.0,4820.0,4753.0,39.04295,-122.915828,17638.0
202,Los Angeles,Lakewood,1954,74654.0,73557.0,79345.0,80048.0,33.853628,-118.133956,307604.0
203,Los Angeles,Lancaster,1977,48027.0,97291.0,118718.0,156633.0,34.686786,-118.154164,420669.0
204,Marin,Larkspur,1908,11064.0,11070.0,12014.0,11926.0,37.934092,-122.535253,46074.0
206,Los Angeles,Lawndale,1959,23460.0,27331.0,31711.0,32769.0,33.887236,-118.352575,115271.0
207,San Diego,Lemon Grove,1977,20780.0,23984.0,24918.0,25320.0,32.742553,-117.031417,95002.0
208,Kings,Lemoore,1900,8832.0,13622.0,19712.0,24531.0,36.300783,-119.782911,66697.0
209,Placer,Lincoln,1890,4132.0,7248.0,11205.0,42819.0,38.891564,-121.293008,65404.0
210,Tulare,Lindsay,1910,6936.0,8338.0,10297.0,11768.0,36.203006,-119.088161,37339.0
211,Sutter,Live Oak,1947,3103.0,4320.0,6229.0,8392.0,36.983561,-121.980517,22044.0
212,Alameda,Livermore,1876,48349.0,56741.0,73345.0,80968.0,37.681875,-121.768008,259403.0
213,Merced,Livingston,1922,5326.0,7317.0,10473.0,13058.0,37.386883,-120.723533,36174.0
214,San Joaquin,Lodi,1906,35221.0,51874.0,56999.0,62134.0,38.134147,-121.272219,206228.0
215,San Bernardino,Loma Linda,1970,10694.0,17400.0,18681.0,23261.0,34.048347,-117.261153,70036.0
216,Los Angeles,Lomita,1964,18807.0,19382.0,20046.0,20256.0,33.792239,-118.315072,78491.0
217,Santa Barbara,Lompoc,1888,26267.0,37649.0,41103.0,42434.0,34.63915,-120.457942,147453.0
218,Los Angeles,Long Beach,"i. 1888/ d.1896/ 
ri. 1897",361355.0,429433.0,461522.0,462257.0,33.768322,-118.195617,1714567.0
220,Orange,Los Alamitos,1960,11529.0,11676.0,11536.0,11449.0,33.803072,-118.072564,46190.0
221,Santa Clara,Los Altos,1952,25769.0,26303.0,27693.0,28976.0,33.796331,-118.118119,108741.0
223,Los Angeles,Los Angeles,1850,2968579.0,3485398.0,3694742.0,3792621.0,34.052233,-118.243686,13941340.0
224,Merced,Los Banos,1907,10341.0,14519.0,25869.0,35972.0,37.058278,-120.849914,86701.0
226,Sierra,Loyalton,1901,1030.0,931.0,862.0,769.0,39.676294,-120.241039,3592.0
227,Los Angeles,Lynwood,1921,48409.0,61945.0,69845.0,69772.0,33.930292,-118.211461,249971.0
228,Madera,Madera,1907,21732.0,29281.0,43207.0,61416.0,36.961336,-120.060717,155636.0
230,Los Angeles,Manhattan Beach,1912,31542.0,32063.0,33852.0,35135.0,33.884736,-118.410908,132592.0
231,San Joaquin,Manteca,1918,24925.0,40773.0,49258.0,67096.0,37.797428,-121.216053,182052.0
232,Kern,Maricopa,1911,946.0,1193.0,1111.0,1154.0,35.058858,-119.40095,4404.0
233,Monterey,Marina,1975,20647.0,26436.0,18925.0,19718.0,36.684403,-121.802172,85726.0
234,Contra Costa,Martinez,1876,22582.0,31808.0,35866.0,35824.0,38.019367,-122.134133,126080.0
235,Yuba,Marysville,1851,9898.0,12324.0,12268.0,12072.0,39.145725,-121.591356,46562.0
236,Los Angeles,Maywood,1924,21810.0,27850.0,28083.0,27395.0,33.986681,-118.18535,105138.0
237,Kern,McFarland,1957,5151.0,7005.0,9837.0,12707.0,35.678011,-119.229275,34700.0
238,Fresno,Mendota,1942,5038.0,6821.0,7890.0,11014.0,36.753561,-120.381558,30763.0
239,San Mateo,Menlo Park,1927,26438.0,28040.0,30785.0,32026.0,37.453828,-122.182186,117289.0
240,Merced,Merced,1889,36499.0,56216.0,63893.0,78958.0,37.302164,-120.482967,235566.0
241,Marin,Mill Valley,1900,12967.0,13038.0,13600.0,13903.0,37.906036,-122.544975,53508.0
242,San Mateo,Millbrae,1948,20058.0,20412.0,20718.0,21532.0,37.598547,-122.387194,82720.0
243,Santa Clara,Milpitas,1954,37820.0,50686.0,62698.0,66790.0,37.428272,-121.906625,217994.0
245,Stanislaus,Modesto,1884,106963.0,164730.0,188856.0,201165.0,37.639097,-120.996878,661714.0
246,Los Angeles,Monrovia,1887,30531.0,35761.0,36929.0,36590.0,34.144428,-118.001947,139811.0
247,Siskiyou,Montague,1909,1285.0,1415.0,1456.0,1443.0,41.728197,-122.5278,5599.0
248,San Bernardino,Montclair,1956,22628.0,28434.0,33049.0,36664.0,34.077511,-117.689778,120775.0
249,Santa Clara,Monte Sereno,1957,3434.0,3287.0,3483.0,3341.0,37.236333,-121.992458,13545.0
250,Los Angeles,Montebello,1920,52929.0,59564.0,62150.0,62500.0,34.016506,-118.113753,237143.0
251,Monterey,Monterey,1890,27558.0,31954.0,29696.0,27810.0,36.600239,-121.894675,117018.0
252,Los Angeles,Monterey Park,1916,54338.0,60738.0,60051.0,60269.0,34.062511,-118.122847,235396.0
256,Santa Clara,Morgan Hill,1906,17060.0,23928.0,33556.0,37882.0,37.1305,-121.654389,112426.0
257,San Luis Obispo,Morro Bay,1964,9064.0,9664.0,10350.0,10234.0,35.365808,-120.8499,39312.0
258,Siskiyou,Mount Shasta,1905,2837.0,3460.0,3621.0,3394.0,41.410806,-122.194575,13312.0
259,Santa Clara,Mountain View,1902,58655.0,67460.0,70708.0,74066.0,37.386053,-122.08385,270889.0
260,Napa,Napa,1872,50879.0,61842.0,72585.0,76915.0,38.297539,-122.286864,262221.0
261,San Diego,National City,1887,48772.0,54249.0,54260.0,58582.0,32.678108,-117.099197,215863.0
262,San Bernardino,Needles,1913,4120.0,5191.0,4830.0,4844.0,34.848061,-114.614133,18985.0
263,Nevada,Nevada City,1856,2431.0,2855.0,3001.0,3068.0,39.261561,-121.016058,11355.0
264,Alameda,Newark,1955,32126.0,37861.0,42471.0,42573.0,37.529658,-122.040239,155031.0
265,Stanislaus,Newman,1908,2785.0,4151.0,7093.0,10224.0,37.313828,-121.020761,24253.0
266,Orange,Newport Beach,1906,62556.0,66643.0,70032.0,85186.0,33.618911,-117.928947,284417.0
267,Riverside,Norco,1964,19732.0,23302.0,24157.0,27063.0,33.931125,-117.548661,94254.0
268,Los Angeles,Norwalk,1957,84901.0,94279.0,104323.0,105549.0,33.902236,-118.081733,389052.0
269,Marin,Novato,1960,43916.0,47585.0,47630.0,51904.0,38.107419,-122.569703,191035.0
270,Stanislaus,Oakdale,1906,8474.0,11961.0,15503.0,20675.0,37.766594,-120.847153,56613.0
271,Alameda,Oakland,1852,339337.0,372242.0,399484.0,390724.0,37.804364,-122.271114,1501787.0
272,San Diego,Oceanside,1888,76698.0,128398.0,161029.0,167086.0,33.195869,-117.379483,533211.0
273,Ventura,Ojai,1921,6816.0,7613.0,7862.0,7461.0,34.44805,-119.242889,29752.0
274,San Bernardino,Ontario,1891,88820.0,133179.0,158007.0,163924.0,34.063344,-117.650889,543930.0
275,Orange,Orange,1888,91450.0,110658.0,128868.0,136416.0,33.787794,-117.853111,467392.0
276,Fresno,Orange Cove,1948,4026.0,5604.0,7722.0,9078.0,36.624394,-119.313731,26430.0
278,Glenn,Orland,1909,4031.0,5052.0,6281.0,7291.0,39.747381,-122.196375,22655.0
279,Butte,Oroville,1906,8693.0,11960.0,13004.0,15546.0,39.513775,-121.556358,49203.0
280,Ventura,Oxnard,1903,108195.0,142216.0,170358.0,197899.0,34.197506,-119.177053,618668.0
281,Monterey,Pacific Grove,1889,15755.0,16117.0,15522.0,15041.0,36.617736,-121.916622,62435.0
282,San Mateo,Pacifica,1957,36866.0,37670.0,38390.0,37234.0,37.613825,-122.486919,150160.0
283,Riverside,Palm Desert,1973,11801.0,23252.0,41155.0,48445.0,33.722244,-116.374456,124653.0
284,Riverside,Palm Springs,1938,32359.0,40181.0,42807.0,44552.0,33.830297,-116.545292,159899.0
285,Los Angeles,Palmdale,1962,12277.0,68842.0,116670.0,152750.0,34.579433,-118.116461,350539.0
286,Santa Clara,Palo Alto,1894,55225.0,55900.0,58598.0,64403.0,37.441883,-122.143019,234126.0
287,Los Angeles,Palos Verdes Estates,1939,14376.0,13512.0,13340.0,13438.0,33.800572,-118.390075,54666.0
289,Los Angeles,Paramount,1957,36407.0,47669.0,55266.0,54098.0,33.889461,-118.159792,193440.0
290,Fresno,Parlier,1921,2902.0,7938.0,11145.0,14494.0,36.611617,-119.527072,36479.0
291,Los Angeles,Pasadena,1886,118072.0,131591.0,133936.0,137122.0,34.147786,-118.144517,520721.0
292,San Luis Obispo,Paso Robles,1889,9163.0,18583.0,24297.0,29793.0,35.632278,-120.664186,81836.0
293,Stanislaus,Patterson,1919,3908.0,8626.0,11606.0,20413.0,37.4716,-121.129656,44553.0
294,Riverside,Perris,1911,6827.0,21460.0,36189.0,68386.0,33.782519,-117.228647,132862.0
295,Sonoma,Petaluma,1858,33834.0,43184.0,54548.0,57941.0,38.232417,-122.636653,189507.0
296,Los Angeles,Pico Rivera,1958,53387.0,59177.0,63428.0,62942.0,33.983069,-118.096736,238934.0
297,Alameda,Piedmont,1907,10498.0,10602.0,10952.0,10667.0,37.824372,-122.231636,42719.0
298,Contra Costa,Pinole,1903,14253.0,17460.0,19039.0,18390.0,38.004367,-122.298858,69142.0
299,San Luis Obispo,Pismo Beach,1939,5364.0,7669.0,8551.0,7655.0,35.142753,-120.641283,29239.0
300,Contra Costa,Pittsburg,1903,33465.0,47564.0,56769.0,63264.0,38.027975,-121.884681,201062.0
301,Orange,Placentia,1926,35041.0,41259.0,46488.0,50533.0,33.872236,-117.870336,173321.0
302,El Dorado,Placerville,1854,6739.0,8355.0,9610.0,10389.0,38.729625,-120.798547,35093.0
303,Contra Costa,Pleasant Hill,1961,25547.0,31585.0,32837.0,33152.0,37.947978,-122.060797,123121.0
304,Alameda,Pleasanton,1894,35160.0,50553.0,63654.0,70285.0,37.662431,-121.874678,219652.0
305,Amador,Plymouth,1917,699.0,811.0,980.0,1005.0,38.481853,-120.844658,3495.0
306,Mendocino,Point Arena,1908,425.0,407.0,474.0,449.0,38.908797,-123.693072,1755.0
307,Los Angeles,Pomona,1888,92742.0,131723.0,149473.0,149058.0,34.055228,-117.752306,522996.0
308,Ventura,Port Hueneme,1948,17803.0,20319.0,21845.0,21723.0,34.180728,-119.208158,81690.0
309,Tulare,Porterville,1902,19707.0,29563.0,39615.0,54165.0,36.065231,-119.016767,143050.0
310,Plumas,Portola,1946,1885.0,2193.0,2227.0,2104.0,39.810458,-120.469103,8409.0
313,San Bernardino,Rancho Cucamonga,1977,55250.0,101409.0,127743.0,165269.0,34.1064,-117.593108,449671.0
314,Riverside,Rancho Mirage,1973,6281.0,9778.0,13249.0,17218.0,33.739744,-116.412789,46526.0
315,Los Angeles,Rancho Palos Verdes,1973,36577.0,41659.0,41145.0,41643.0,33.744461,-118.387017,161024.0
316,Tehama,Red Bluff,1876,9490.0,12363.0,13147.0,14076.0,40.178489,-122.235831,49076.0
317,Shasta,Redding,1887,41995.0,66462.0,80865.0,89861.0,40.586539,-122.391675,279183.0
318,San Bernardino,Redlands,1888,43619.0,60394.0,63591.0,68747.0,34.055569,-117.182539,236351.0
319,Los Angeles,Redondo Beach,1892,57102.0,60167.0,63261.0,66748.0,33.849183,-118.388408,247278.0
320,San Mateo,Redwood City,1867,54951.0,66072.0,75402.0,76815.0,37.485214,-122.236356,273240.0
321,Fresno,Reedley,1913,11071.0,15791.0,20756.0,24194.0,36.596339,-119.450403,71812.0
322,San Bernardino,Rialto,1911,37862.0,72388.0,91873.0,99171.0,34.1064,-117.370325,301294.0
323,Contra Costa,Richmond,1905,74676.0,87425.0,99216.0,103701.0,37.935758,-122.34775,365018.0
324,Kern,Ridgecrest,1963,15929.0,27725.0,24927.0,27616.0,35.622456,-117.670897,96197.0
325,Humboldt,Rio Dell,1965,2687.0,3012.0,3174.0,3368.0,40.4993,-124.106436,12241.0
326,Solano,Rio Vista,1894,3142.0,3316.0,4571.0,7360.0,38.15575,-121.691344,18389.0
327,San Joaquin,Ripon,1945,3509.0,7455.0,10146.0,14297.0,37.739453,-121.135414,35407.0
328,Stanislaus,Riverbank,1922,5695.0,8547.0,15826.0,22678.0,37.736039,-120.935489,52746.0
329,Riverside,Riverside,1883,170591.0,226505.0,255166.0,303871.0,33.95335,-117.396156,956133.0
330,Placer,Rocklin,1893,7344.0,19033.0,36330.0,56974.0,38.790733,-121.235783,119681.0
331,Sonoma,Rohnert Park,1962,22965.0,36326.0,42236.0,40971.0,38.339636,-122.701097,142498.0
332,Los Angeles,Rolling Hills,1957,2049.0,1871.0,1871.0,1860.0,33.756961,-118.353961,7651.0
333,Los Angeles,Rolling Hills Estates,1957,7701.0,7789.0,7676.0,8067.0,33.787794,-118.358128,31233.0
334,Los Angeles,Rosemead,1959,42604.0,51638.0,53505.0,53764.0,34.080564,-118.072847,201511.0
335,Placer,Roseville,1909,24347.0,44685.0,79921.0,118788.0,38.752122,-121.288006,267741.0
337,Sacramento,Sacramento,1850,275741.0,369365.0,407018.0,466488.0,38.581572,-121.4944,1518612.0
338,Monterey,Salinas,1874,80479.0,108777.0,142685.0,150441.0,36.677736,-121.6555,482382.0
340,San Bernardino,San Bernardino,1869,118794.0,164164.0,185401.0,209924.0,34.108344,-117.289764,678283.0
341,San Mateo,San Bruno,1914,35417.0,38961.0,40165.0,41114.0,37.630489,-122.411083,155657.0
342,San Mateo,San Carlos,1925,24710.0,26167.0,27718.0,28406.0,37.507158,-122.260522,107001.0
343,Orange,San Clemente,1928,27325.0,41100.0,49936.0,63522.0,33.426972,-117.611992,181883.0
