,County,City,Incorportation_date,pop_april_1980,pop_april_1990,pop_april_2000,pop_april_2010,Latitude,Longitude,Total_Pop
408,Ventura,Thousand Oaks,1964,77072.0,104352.0,117005.0,126683.0,34.107231,-118.057847,425112.0
410,Los Angeles,Torrance,1921,129881.0,133107.0,137946.0,145438.0,33.83585,-118.340628,546372.0
411,San Joaquin,Tracy,1910,18428.0,33558.0,56929.0,82922.0,37.73965,-121.425222,191837.0
412,Humboldt,Trinidad,1870,379.0,362.0,311.0,367.0,41.059292,-124.143125,1419.0
413,Tulare,Tulare,1888,22530.0,33249.0,43994.0,59278.0,36.207728,-119.347339,159051.0
414,Siskiyou,Tulelake,1937,783.0,1010.0,1020.0,1010.0,41.955989,-121.477492,3823.0
415,Stanislaus,Turlock,1908,26287.0,42198.0,55810.0,68549.0,37.494658,-120.846594,192844.0
416,Orange,Tustin,1927,32256.0,50689.0,67504.0,75540.0,33.74585,-117.826167,225989.0
418,Mendocino,Ukiah,1876,12035.0,14599.0,15497.0,16075.0,39.150172,-123.207783,58206.0
419,Alameda,Union City,1959,39406.0,53762.0,66869.0,69516.0,37.593392,-122.043831,229553.0
420,San Bernardino,Upland,1906,47647.0,63374.0,68393.0,73732.0,34.097511,-117.648389,253146.0
421,Solano,Vacaville,1892,43367.0,71479.0,88625.0,92428.0,38.356578,-121.987744,295899.0
422,Solano,Vallejo,1868,80303.0,109199.0,116760.0,115942.0,38.104086,-122.256636,422204.0
423,Ventura,Ventura,1866,73774.0,92575.0,100916.0,106433.0,34.274639,-119.229006,373698.0
424,Los Angeles,Vernon,1905,90.0,152.0,91.0,112.0,34.003903,-118.230072,445.0
425,San Bernardino,Victorville,1962,14220.0,40674.0,64029.0,115903.0,34.536108,-117.291158,234826.0
426,Orange,Villa Park,1962,7137.0,6299.0,5952.0,5812.0,33.814461,-117.813111,25200.0
427,Tulare,Visalia,1874,49729.0,75636.0,91877.0,124442.0,36.330228,-119.292058,341684.0
428,San Diego,Vista,1963,35834.0,71872.0,89857.0,93834.0,33.200036,-117.242536,291397.0
429,Los Angeles,Walnut,1959,12478.0,29105.0,30004.0,29172.0,34.020289,-117.865339,100759.0
430,Contra Costa,Walnut Creek,1914,53490.0,60569.0,64296.0,64173.0,37.910078,-122.065183,242528.0
431,Kern,Wasco,1945,9613.0,12412.0,21263.0,25545.0,35.594125,-119.340947,68833.0
432,Stanislaus,Waterford,1969,2683.0,4771.0,6924.0,8456.0,37.641319,-120.760483,22834.0
433,Santa Cruz,Watsonville,1868,23662.0,31099.0,44265.0,51199.0,36.910231,-121.756894,150225.0
434,Siskiyou,Weed,1961,2879.0,3062.0,2978.0,2967.0,41.42265,-122.386128,11886.0
435,Los Angeles,West Covina,1923,81292.0,96086.0,105080.0,106098.0,34.068622,-117.938953,388556.0
439,Orange,Westminster,1957,71133.0,78118.0,88207.0,89701.0,33.751342,-117.993992,327159.0
440,Imperial,Westmorland,1934,1590.0,1380.0,2131.0,2225.0,33.037267,-115.621383,7326.0
441,Yuba,Wheatland,1874,1474.0,1631.0,2275.0,3456.0,39.009894,-121.423014,8836.0
442,Los Angeles,Whittier,1898,68558.0,77671.0,83680.0,85331.0,33.979178,-118.032844,315240.0
443,Colusa,Williams,1920,1658.0,2297.0,3670.0,5123.0,39.154614,-122.149419,12748.0
444,Mendocino,Willits,1888,4008.0,5027.0,5073.0,4888.0,39.409608,-123.355567,18996.0
445,Glenn,Willows,1886,4777.0,5988.0,6220.0,6166.0,39.524325,-122.193592,23151.0
446,Yolo,Winters,1898,2652.0,4639.0,6125.0,6624.0,38.524906,-121.970803,20040.0
447,Tulare,Woodlake,1941,4343.0,5678.0,6651.0,7279.0,36.413561,-119.098717,23951.0
448,Yolo,Woodland,1871,30235.0,39802.0,49151.0,55468.0,38.678517,-121.773297,174656.0
450,Orange,Yorba Linda,1967,28254.0,52422.0,58918.0,64234.0,33.888625,-117.813111,203828.0
452,Siskiyou,Yreka,1857,5916.0,6948.0,7290.0,7765.0,41.735419,-122.634472,27919.0
453,Sutter,Yuba City,1908,18736.0,27437.0,36758.0,64925.0,39.140447,-121.616911,147856.0
